,ENRL_ORIG_YR2_RT,SAT_AVG
1072,0.4881889764,1252.0
1074,0.3973871734,1110.0
1082,0.3086419753,1045.0
1090,0.438547486,1157.0
1095,0.4409266409,1088.0
1096,PrivacySuppressed,845.0
1097,0.42,996.0
1098,0.0807248764,850.0
1101,0.5422699673,1195.0
1107,0.288209607,964.0
1110,0.3700787402,1046.0
1112,0.3636363636,1030.0
1114,0.451048951,1087.0
1115,0.427027027,1049.0
1124,0.4171052632,1125.0
1125,0.4360465116,1030.0
1127,0.3232415206,1010.0
1129,0.712585034,1458.0
1130,0.3481381786,890.0
1133,0.3924914676,1105.0
1138,0.268115942,1048.0
1146,0.3445595855,1029.0
1147,0.2437304075,1035.0
1148,0.381533101,1031.0
1151,0.4099378882,1070.0
1153,0.3802966102,1010.0
1154,0.296388543,1085.0
1166,0.3136329774,1032.0
1167,0.3681264406,1050.0
1172,0.4395061728,1053.0
1173,0.3389830508,1049.0
1176,0.5,1205.0
1179,0.3807935979,970.0
1180,0.6433408578,1318.0
1183,0.3767361111,1053.0
1185,0.5142221123,1053.0
1186,0.3881118881,1047.0
1187,0.673553719,1212.0
1188,0.2681992337,855.0
1193,0.6314285714,1215.0
1196,0.5705128205,1262.0
1197,0.4918918919,1147.0
1198,0.5589353612,1010.0
1199,0.4454976303,1123.0
1200,0.4297994269,1050.0
1203,0.6275303644,1130.0
1205,0.2978723404,1014.0
1207,0.4927536232,1054.0
1209,0.2922499146,996.0
1210,0.3707786527,1013.0
1212,0.3832635983,1018.0
1213,0.2060409924,934.0
1214,0.3523688663,1004.0
1215,0.3621095062,910.0
1216,0.3153575615,950.0
1217,0.3308596166,962.0
1218,0.534194831,1198.0
1219,0.2928813559,918.0
1220,0.3254747872,950.0
1221,0.3007063572,943.0
1234,0.4423592493,1017.0
1235,0.2795389049,1024.0
1236,0.2792435209,1083.0
1244,0.7701149425,1450.0
1245,0.3235294118,988.0
1247,0.3362282878,975.0
1248,0.3176855895,954.0
1251,0.6361111111,1310.0
1253,0.3705972435,981.0
1254,0.4061433447,998.0
1255,0.3244444444,895.0
1256,0.6734693878,1141.0
1259,0.4301075269,940.0
1260,0.5792507205,1214.0
1261,0.4143094842,1095.0
1262,0.5680555556,1158.0
1265,0.6435185185,1141.0
1269,0.249490835,1050.0
1273,0.5406091371,1089.0
1274,0.365448505,1048.0
1275,0.4041916168,1166.0
1276,0.5516129032,1182.0
1280,0.4458204334,1119.0
1281,0.4488078541,1240.0
1282,0.3486725664,926.0
1286,0.2413793103,1028.0
1288,0.3017751479,969.0
1289,0.2963917526,979.0
1290,0.6725352113,1357.0
1302,0.4941860465,1145.0
1303,0.2175732218,1005.0
1305,0.4251988072,1208.0
1311,0.547277937,1088.0
1312,0.6982922201,1175.0
1316,0.4335511983,1050.0
1317,0.3628318584,1010.0
1320,0.4317284925,1030.0
1321,0.372611465,1095.0
1328,0.3870056497,1050.0
1329,PrivacySuppressed,1030.0
1332,0.4754464286,1105.0
1338,0.2481012658,1010.0
1339,0.2657657658,980.0
1340,0.5206422018,1077.0
1344,0.280952381,926.0
1346,0.3357400722,1086.0
1348,0.4170616114,1145.0
1349,0.306122449,956.0
1350,0.2965116279,1028.0
1356,0.28,970.0
1364,0.3090349076,1030.0
1366,0.3187134503,990.0
1367,0.2643678161,954.0
1368,0.2299546142,977.0
1380,0.3764122348,1145.0
1381,0.2232142857,1079.0
1384,0.2773972603,1014.0
1389,0.2095238095,1020.0
1390,0.2789699571,1014.0
1391,0.3033268102,950.0
1395,0.1762075134,1020.0
1397,0.3832004905,1010.0
1399,0.3063380282,988.0
1403,0.2268907563,1036.0
1404,0.3532338308,1015.0
1405,0.275862069,1017.0
1408,0.3511029412,1089.0
1410,0.2619047619,990.0
1411,0.5167095116,1110.0
1415,0.4891975309,1116.0
1416,0.5954825462,1113.0
1419,0.2935779817,1010.0
1420,0.264075067,985.0
1422,0.6569037657,1268.0
1427,0.3010752688,1019.0
1428,0.3420560748,1009.0
1431,0.4239766082,1085.0
1442,PrivacySuppressed,930.0
1443,0.235131397,860.0
1444,0.25,1019.0
1445,0.4234945706,1140.0
1446,0.2561983471,976.0
1450,0.3802514566,1142.0
1454,PrivacySuppressed,923.0
1455,0.2377179081,1032.0
1456,0.321,1028.0
1457,0.339830085,1029.0
1459,0.3411003236,1024.0
1464,0.2376910017,909.0
1475,0.3325581395,952.0
1478,0.393442623,1033.0
1479,0.4972375691,1213.0
1481,0.220735786,1007.0
1482,0.3408345054,1009.0
1492,0.331838565,1131.0
1500,0.3675213675,884.0
1502,0.3975694444,863.0
1508,0.2466887417,950.0
1509,0.466977254,1162.0
1511,0.2388419783,1030.0
1516,0.3092783505,968.0
1518,0.4245472837,1089.0
1519,0.4504748982,1143.0
1520,0.3513513514,1030.0
1521,0.2894736842,1072.0
1522,0.3252730109,1030.0
1523,0.1912181303,1050.0
1526,0.3193411265,1007.0
1528,0.2887323944,1010.0
1541,0.3518656716,1030.0
1542,0.4061793519,890.0
1543,0.3811659193,808.0
1545,0.4164473684,1070.0
1547,0.4577412117,1341.0
1548,0.3658256881,1048.0
1554,0.7015706806,1423.0
1555,PrivacySuppressed,1010.0
1557,0.6627218935,1343.0
1559,0.4615384615,962.0
1564,0.373015873,908.0
1565,0.2886597938,937.0
1566,0.4801007557,1085.0
1567,0.662835249,1026.0
1569,0.3462088698,1057.0
1573,0.4978165939,960.0
1576,0.3567774936,1003.0
1577,0.4259259259,895.0
1588,0.3412429379,940.0
1589,0.4150039904,886.0
1590,0.585106383,1042.0
1595,0.3325991189,880.0
1599,0.4385321101,963.0
1605,0.4848484848,1030.0
1608,0.4877789586,1418.0
1611,0.65,1194.0
1615,0.4614994934,1209.0
1616,0.5690701627,1310.0
1617,0.5825471698,1175.0
1618,0.4237288136,871.0
1622,0.4232294618,893.0
1623,0.5180722892,1060.0
1626,0.3343373494,1036.0
1631,0.4760293288,1145.0
1632,0.5061728395,1221.0
1636,0.4966657775,1078.0
1639,0.4258289703,990.0
1640,0.6184210526,1168.0
1641,0.5943152455,1105.0
1645,0.3538135593,885.0
1646,0.6443298969,1434.0
1651,0.6860465116,1258.0
1653,PrivacySuppressed,895.0
1654,0.3654545455,964.0
1657,0.3554119548,1006.0
1658,0.6923076923,1234.0
1664,0.6613175676,1375.0
1666,0.6932013769,1279.0
1667,0.7362459547,1347.0
1668,0.4843549078,991.0
1670,PrivacySuppressed,956.0
1678,0.359929078,931.0
1680,0.1266794626,845.0
1683,0.3931398417,954.0
1684,0.5379975875,1240.0
1685,0.5391969407,1090.0
1686,0.6254237288,1070.0
1689,0.1517857143,825.0
1690,0.4957983193,987.0
1691,0.4539363484,1040.0
1693,0.5814536341,1156.0
1698,0.504358655,1501.0
1708,0.4736842105,974.0
1710,0.427238806,1065.0
1712,0.4693218515,1132.0
1716,0.5546810273,1209.0
1717,0.4006688963,1015.0
1719,0.4870517928,1094.0
1720,0.6507936508,1081.0
1721,0.7718550107,1503.0
1722,0.7298245614,1051.0
1732,0.3701149425,880.0
1743,0.3728323699,850.0
1744,0.4282511211,940.0
1745,0.4291845494,1032.0
1749,0.6980421687,1394.0
1751,0.3618233618,928.0
1752,0.2692307692,760.0
1756,0.3962848297,954.0
1759,0.4584031267,986.0
1761,0.5673758865,1149.0
1765,0.3982442139,1029.0
1767,0.5076035658,1061.0
1768,0.6711409396,1133.0
1769,0.4942791762,1014.0
1771,0.7307692308,1428.0
1772,0.5763888889,1399.0
1773,0.6528599606,1109.0
1774,0.5093867334,1077.0
1775,0.5042432815,995.0
1777,0.476534296,996.0
1778,0.7,1439.0
1780,0.4562248996,1016.0
1781,0.4205020921,1007.0
1782,0.4336569579,1143.0
1785,0.5071225071,1100.0
1787,0.435768262,1070.0
1788,0.44345898,1090.0
1794,0.5351351351,1183.0
1798,0.4762674207,1029.0
1801,0.4294871795,976.0
1802,PrivacySuppressed,1010.0
1804,0.4424778761,1010.0
1811,0.3440594059,1142.0
1814,0.3943960942,1011.0
1815,0.3396076352,1010.0
1818,0.6821428571,1198.0
1821,0.3673758865,1084.0
1824,0.5100321027,1090.0
1827,0.6075353218,1204.0
1831,0.4661016949,1240.0
1837,0.3588652482,1050.0
1839,0.4648648649,1145.0
1842,0.407079646,1034.0
1843,0.2887537994,780.0
1844,0.230964467,990.0
1845,0.5242456897,1352.0
1847,0.6642926513,1158.0
1848,0.4491525424,1206.0
1849,0.4595359366,1125.0
1850,0.4057239057,993.0
1860,0.3768248175,1030.0
1863,0.3353090601,1029.0
1865,0.4300164024,1070.0
1866,0.4205298013,927.0
1868,0.3493975904,1008.0
1873,0.4047720494,990.0
1875,0.2806673209,990.0
1879,0.4043355325,1069.0
1881,0.1968911917,930.0
1887,0.3628228595,1050.0
1889,0.5421151146,1030.0
1897,0.4283687943,1053.0
1900,0.3309709426,990.0
1901,0.4338624339,1070.0
1902,0.4813186813,1144.0
1905,0.747826087,1406.0
1906,0.571192053,1144.0
1907,0.3589285714,991.0
1909,0.6538461538,1125.0
1916,0.6615646259,1224.0
1917,0.4309392265,1106.0
1927,0.6198630137,1350.0
1929,0.4378246257,1030.0
1936,0.4837931034,1270.0
1937,0.323943662,1004.0
1939,0.496124031,1073.0
1944,0.4838121295,1109.0
1945,0.4269406393,1168.0
1948,0.3246831623,1049.0
1953,0.3454038997,1044.0
1956,0.4133986928,1126.0
1958,0.2888888889,930.0
1963,0.7026378897,1157.0
1966,0.401322314,1010.0
1967,0.6222826087,1155.0
1968,0.3788395904,1068.0
1969,0.734375,1290.0
1970,0.4156626506,983.0
1971,0.4098360656,1085.0
1972,0.6135693215,1165.0
1974,0.395480226,1051.0
1977,0.3773861968,1010.0
1984,0.4804063861,1070.0
1987,0.3154121864,851.0
1988,0.3708530806,1033.0
1989,0.3558282209,1007.0
1996,0.2367531003,950.0
2004,0.3660164271,910.0
2007,0.5182926829,1159.0
2009,0.4045672399,1100.0
2011,0.2409326425,995.0
2012,0.2800632911,825.0
2013,0.3258559622,1098.0
2016,0.3599674973,1106.0
2019,0.1000543774,970.0
2020,0.3205882353,666.0
2023,0.3470685841,1082.0
2025,0.4406779661,864.0
2027,0.2380952381,1105.0
2031,0.3043478261,1028.0
2035,0.1627118644,863.0
2036,0.3116883117,1033.0
2039,0.2800829876,1006.0
2040,0.3911646586,990.0
2046,PrivacySuppressed,1165.0
2048,PrivacySuppressed,1021.0
2051,0.3484848485,972.0
2052,0.2793522267,1146.0
2057,0.2809160305,1046.0
2058,0.3448275862,1070.0
2062,0.153125,1029.0
2070,0.4303278689,1073.0
2076,0.3577084304,1045.0
2081,0.3487450462,1142.0
2085,0.3714285714,1021.0
2088,0.2339791356,1001.0
2092,0.2986598596,990.0
2094,0.2400756144,920.0
2096,0.4941291585,1165.0
2097,0.2775574941,1105.0
2098,0.4879923151,1263.0
2099,0.3369606004,1090.0
2106,0.4760039177,1243.0
2107,0.4003623188,1050.0
2109,0.4657534247,1050.0
2115,0.3201970443,1164.0
2118,0.4308510638,1237.0
2123,0.2289156627,970.0
2124,0.2478632479,1228.0
2127,0.2957055215,1062.0
2133,0.3581395349,1047.0
2134,0.3748458693,1049.0
2135,0.3727155727,1090.0
2141,0.6737357259,1474.0
2142,0.3867735471,1107.0
2144,0.4243902439,1090.0
2145,0.3884892086,1146.0
2146,0.375,1047.0
2152,0.560137457,1112.0
2165,0.2709284627,1115.0
2166,0.3926491994,1115.0
2167,0.3422354105,1090.0
2168,0.2669789227,925.0
2169,0.3496240602,1024.0
2174,0.3370786517,1110.0
2175,0.608974359,1070.0
2179,0.4903225806,1091.0
2180,0.3223039216,1214.0
2181,0.4181459566,1077.0
2182,0.3333333333,995.0
2183,0.3603896104,1083.0
2186,0.3885109599,1049.0
2188,0.3925925926,1070.0
2191,0.3233695652,970.0
2193,0.3896296296,1070.0
2197,0.4133016627,1109.0
2198,0.4702348443,1147.0
2201,0.2542372881,1070.0
2203,0.3787878788,1050.0
2209,0.29375,924.0
2216,0.4674367166,1003.0
2217,0.5119945168,1081.0
2226,0.395480226,962.0
2227,0.5774336283,1446.0
2230,0.3612774451,975.0
2238,0.4047753337,965.0
2240,0.6129761136,1100.0
2241,0.5382882883,975.0
2242,0.6129761136,1020.0
2243,0.5134493671,965.0
2252,0.3798882682,932.0
2253,0.6832669323,1145.0
2263,0.3035190616,835.0
2266,0.4541284404,949.0
2268,0.4716157205,956.0
2279,0.5244565217,1109.0
2284,0.3771234428,985.0
2285,0.3896103896,877.0
2286,0.3771234428,1020.0
2288,0.3863636364,900.0
2289,0.500204499,1120.0
2296,0.3405639913,917.0
2298,0.405863754,905.0
2304,0.5602517986,1063.0
2305,0.5193557502,970.0
2307,0.0941176471,950.0
2312,0.5781433608,1142.0
2320,0.6389891697,1495.0
2322,0.5148270181,1096.0
2324,0.5317247542,1038.0
2326,0.5453979454,1035.0
2327,0.5453979454,1210.0
2328,0.5453979454,1059.0
2331,0.4847396768,913.0
2333,0.5125,1121.0
2335,0.3453815261,855.0
2337,0.7276422764,1305.0
2338,0.4848188051,1068.0
2342,0.6762468301,1235.0
2345,0.4564971751,1010.0
2352,0.2043991416,932.0
2357,PrivacySuppressed,967.0
2359,0.3610108303,1200.0
2361,0.3429121849,1038.0
2365,0.3060418812,982.0
2370,0.2543859649,998.0
2378,0.25,989.0
2379,0.4652777778,1098.0
2383,0.4731861199,1195.0
2386,0.4754385965,1106.0
2399,0.6854304636,1340.0
2419,0.5467980296,1101.0
2428,0.5992779783,1187.0
2432,0.7601476015,1370.0
2434,0.5255354201,1471.0
2437,0.3801652893,912.0
2441,0.64,1358.0
2442,0.5504978663,1422.0
2447,0.5275532697,1225.0
2450,0.3933110368,1100.0
2451,0.3287021349,1000.0
2452,0.4315750646,1110.0
2455,0.4572208738,1160.0
2456,0.3803596127,950.0
2459,0.3402959095,1020.0
2460,0.2184601113,838.0
2461,0.2560324578,937.0
2462,0.3836720392,1100.0
2465,0.3244867301,905.0
2467,0.3274478331,1047.0
2470,0.3882575758,899.0
2475,0.45,1060.0
2479,0.3247588424,894.0
2480,0.6237437186,1258.0
2486,0.704845815,1384.0
2487,0.415704388,1126.0
2492,0.479562464,1165.0
2493,0.4901315789,1113.0
2498,0.5609103079,1009.0
2505,PrivacySuppressed,1331.0
2510,0.3974082073,907.0
2511,0.5013333333,1080.0
2512,0.3165211769,921.0
2513,0.3165211769,974.0
2520,0.601010101,1090.0
2522,0.4657836645,1075.0
2523,0.1497175141,874.0
2527,0.3864628821,1053.0
2528,0.3097913323,865.0
2541,0.5104712042,1054.0
2544,0.3497757848,1006.0
2545,0.534351145,919.0
2550,0.3996925442,986.0
2551,0.4123989218,1131.0
2559,0.5506692161,1352.0
2561,0.4806924101,1038.0
2565,0.3770634231,1039.0
2566,0.3484848485,970.0
2567,0.3043478261,915.0
2572,0.429339065,1043.0
2573,0.3377308707,986.0
2576,0.5506692161,1303.0
2577,0.4025974026,928.0
2578,0.512864494,1140.0
2587,0.6710382514,1366.0
2589,0.3792372881,1046.0
2591,0.4367690058,1232.0
2592,0.6499477534,1353.0
2597,0.5229166667,1075.0
2598,0.3521594684,940.0
2599,PrivacySuppressed,1015.0
2602,0.3972222222,931.0
2607,0.599479844,1122.0
2609,0.6331168831,1247.0
2610,0.4298679868,1054.0
2615,0.4284077892,1095.0
2618,0.4386024423,1093.0
2622,0.1054263566,1090.0
2625,0.2365010799,975.0
2626,0.3251770766,969.0
2627,0.1374598071,930.0
2628,0.4491525424,1102.0
2629,0.5529513889,1297.0
2630,0.4736036725,1158.0
2631,0.524530787,1253.0
2632,0.4237288136,1155.0
2633,0.2826086957,1053.0
2634,0.4195316393,1069.0
2635,0.3902439024,975.0
2636,0.4510739857,1058.0
2637,0.4668489405,1056.0
2638,0.4956855225,1274.0
2639,0.4705102717,1129.0
2640,0.5228426396,1097.0
2641,0.4816915936,1110.0
2643,0.4587778855,1082.0
2645,0.4081081081,998.0
2646,0.4614878209,1026.0
2649,0.5843373494,1056.0
2652,0.6823214968,1158.0
2664,0.715942029,1313.0
2668,0.3509933775,946.0
2670,0.7575,1394.0
2672,0.4843049327,1020.0
2673,0.515970516,1154.0
2674,PrivacySuppressed,1435.0
2675,0.4113475177,1075.0
2686,0.456937799,1217.0
2692,0.572927242,1156.0
2694,0.3449197861,939.0
2696,0.3601532567,977.0
2700,0.2941176471,950.0
2703,0.137755102,998.0
2705,0.4339948231,1030.0
2709,0.2712418301,985.0
2714,0.2639296188,777.0
2719,0.6153846154,1353.0
2720,0.4273369992,1444.0
2722,0.5103510351,1050.0
2724,0.4336973479,849.0
2725,0.6092436975,1200.0
2728,0.3882807469,851.0
2730,0.3149425287,1018.0
2732,0.2466666667,891.0
2733,0.3597122302,1067.0
2738,0.5242966752,1087.0
2742,0.3742236025,826.0
2746,0.3509127789,976.0
2748,0.2760869565,723.0
2749,PrivacySuppressed,755.0
2750,0.2994241843,941.0
2755,0.4431554524,1040.0
2756,0.281512605,961.0
2763,0.387755102,950.0
2764,0.3502871206,915.0
2767,0.5014314928,902.0
2768,0.4567430025,1190.0
2769,0.6388996513,1313.0
2770,0.475712881,1066.0
2771,0.4468085106,1029.0
2772,0.4622641509,859.0
2773,0.6204819277,1105.0
2774,0.6062337662,1229.0
2775,0.3818181818,863.0
2776,0.4907201188,1154.0
2778,0.314893617,910.0
2779,0.3938024532,926.0
2780,0.2777777778,954.0
2781,0.3023255814,878.0
2784,0.3738656987,1058.0
2787,0.2857142857,853.0
2792,0.244732577,749.0
2793,0.4326018809,1110.0
2798,0.1959334566,964.0
2810,0.3728070175,1136.0
2816,0.4226190476,1013.0
2819,0.4018169113,889.0
2820,0.4349098001,1034.0
2823,0.176056338,965.0
2827,0.3620689655,1038.0
2831,0.3643659711,1046.0
2834,0.2821316614,1004.0
2836,0.4239086087,1090.0
2839,0.4864758918,1091.0
2846,0.25,967.0
2851,0.2990799938,1016.0
2857,0.4647887324,1009.0
2859,0.3991179713,1043.0
2862,0.1920903955,1070.0
2863,0.5031605563,1096.0
2865,0.3946587537,1027.0
2868,0.39527897,1009.0
2873,0.421957672,1102.0
2878,0.4676354029,1377.0
2879,0.568627451,1195.0
2882,0.2690677966,825.0
2885,0.1453488372,1011.0
2886,0.3658536585,989.0
2888,0.3975887293,1141.0
2892,0.2515506547,939.0
2895,0.5172413793,1060.0
2898,0.3234863995,1030.0
2901,0.5393939394,1035.0
2906,0.5931586608,1181.0
2907,0.3395225464,964.0
2908,0.7341772152,1285.0
2914,0.4201101928,1083.0
2918,0.1578947368,970.0
2924,0.4201030928,1030.0
2932,0.4867647059,1112.0
2941,0.3661024077,1048.0
2943,0.5792682927,1328.0
2944,0.3580645161,1002.0
2945,0.3373493976,983.0
2953,0.341543514,1046.0
2954,0.4868804665,1105.0
2961,0.4370186335,1240.0
2965,0.3241106719,1030.0
2966,0.5154109589,1050.0
2967,0.4144295302,1071.0
2968,0.4559819413,989.0
2970,0.3793103448,983.0
2978,0.2981818182,943.0
2981,0.683908046,1354.0
2984,0.3442622951,1028.0
2986,0.5700934579,1153.0
2996,0.418057211,1289.0
3001,0.3731142241,1104.0
3004,PrivacySuppressed,970.0
3005,0.5433526012,1123.0
3006,0.5228276878,1087.0
3032,0.487037037,1163.0
3037,0.1068459658,969.0
3038,0.3008438819,1031.0
3049,0.3828996283,1018.0
3052,0.4809384164,1047.0
3056,0.4,1006.0
3058,0.5176715177,1158.0
3059,0.5710455764,1231.0
3062,0.5310274669,1132.0
3066,0.1401515152,836.0
3067,0.2536585366,981.0
3074,0.3338200935,1030.0
3077,0.276533593,969.0
3082,0.1780821918,899.0
3087,0.2740776234,970.0
3091,0.2390243902,930.0
3093,0.3601895735,1124.0
3095,0.1636363636,890.0
3096,0.4193154034,1135.0
3098,0.3855421687,1098.0
3100,0.2831858407,1163.0
3101,0.4233830846,1176.0
3104,0.2759103641,1037.0
3107,0.2114164905,950.0
3111,0.2534246575,990.0
3114,0.247582205,950.0
3115,0.238961039,963.0
3116,0.2798690671,990.0
3119,0.4947368421,1279.0
3137,0.2888015717,993.0
3140,0.2296943231,935.0
3143,0.4590163934,1070.0
3147,0.5748218527,1279.0
3148,0.3896457766,1090.0
3156,0.3209876543,1104.0
3159,0.3445945946,974.0
3161,0.342015855,1025.0
3163,0.4353588907,1102.0
3164,0.3940609952,1108.0
3166,0.4849187935,1102.0
