,GROUP_VALUE,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,4Q_FG_PCT,4Q_FG3_PCT,4Q_FT_PCT,4Q_OREB,4Q_DREB,4Q_REB,4Q_AST,4Q_TOV,4Q_STL,4Q_BLK,PO_FG_PCT,PO_FG3_PCT,PO_FT_PCT,PO_OREB,PO_DREB,PO_REB,PO_AST,PO_TOV,PO_STL,PO_BLK,SC_FG_PCT,SC_FG3_PCT,SC_FT_PCT,SC_OREB,SC_DREB,SC_REB,SC_AST,SC_TOV,SC_STL,SC_BLK,PERSON_ID,DISPLAY_FIRST_LAST
2439,2016-17,0.4,0.35,0.852,0.7,1.6,2.3,1.2,0.8,0.6,0.1,0.361,0.25,0.5,0.2,0.6,0.8,0.3,0.3,0.2,0.1,,,,,,,,,,,0.571,0.667,1.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,201977,Marcus Thornton
2440,2016-17,0.25,0.0,0.0,1.0,0.5,1.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1627861,Mike Tobey
2441,2008-09,0.292,0.22,0.5,0.6,1.5,2.2,0.9,0.4,0.3,0.1,0.333,0.313,1.0,0.5,0.9,1.4,0.3,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,201229,Anthony Tolliver
2442,2009-10,0.287,0.22,0.5126666666666667,1.2333333333333334,3.633333333333333,4.933333333333334,1.3,0.6666666666666666,0.4666666666666666,0.5,0.421,0.326,0.688,0.4,1.3,1.7,0.4,0.3,0.2,0.4,,,,,,,,,,,,,,,,,,,,,201229,Anthony Tolliver
2443,2010-11,0.45,0.409,0.802,1.4,3.1,4.5,1.3,0.8,0.4,0.4,0.447,0.424,0.75,0.5,1.1,1.7,0.4,0.3,0.1,0.2,,,,,,,,,,,,,,,,,,,,,201229,Anthony Tolliver
2444,2011-12,0.39,0.248,0.745,1.0,2.0,3.0,0.4,0.7,0.4,0.4,0.356,0.238,0.727,0.4,1.1,1.6,0.2,0.4,0.1,0.2,,,,,,,,,,,,,,,,,,,,,201229,Anthony Tolliver
2445,2012-13,0.38,0.338,0.863,0.5,2.0,2.5,0.5,0.6,0.2,0.2,0.27,0.25,0.818,0.3,1.0,1.3,0.3,0.2,0.1,0.0,0.571,0.636,0.333,0.5,1.0,1.5,0.2,0.2,0.2,0.2,,,,,,,,,,,201229,Anthony Tolliver
2446,2013-14,0.42,0.413,0.805,0.5,2.1,2.6,0.7,0.4,0.3,0.2,0.481,0.482,0.714,0.2,0.9,1.1,0.2,0.1,0.1,0.1,0.5,0.5,1.0,0.3,0.8,1.0,0.3,0.0,0.0,0.0,,,,,,,,,,,201229,Anthony Tolliver
2447,2014-15,0.39466666666666667,0.371,0.7479999999999999,0.6333333333333334,2.266666666666666,2.866666666666667,0.7000000000000001,0.6666666666666666,0.3,0.16666666666666666,0.39233333333333337,0.355,0.8666666666666667,0.26666666666666666,0.9333333333333335,1.1666666666666667,0.16666666666666666,0.26666666666666666,0.10000000000000002,0.10000000000000002,,,,,,,,,,,0.161,0.08700000000000001,0.0,0.06666666666666667,0.03333333333333333,0.10000000000000002,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,201229,Anthony Tolliver
2448,2015-16,0.386,0.36,0.617,0.5,2.6,3.2,0.7,0.4,0.4,0.2,0.424,0.389,0.682,0.2,1.0,1.2,0.3,0.1,0.1,0.1,0.5,0.0,0.0,0.3,1.0,1.3,0.3,0.0,0.0,0.3,0.407,0.3,0.333,0.0,0.1,0.1,0.0,0.0,0.0,0.0,201229,Anthony Tolliver
2449,2016-17,0.442,0.391,0.744,0.8,2.9,3.6,1.2,0.9,0.5,0.3,0.447,0.357,0.727,0.2,0.9,1.0,0.4,0.2,0.1,0.1,,,,,,,,,,,0.588,0.545,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,201229,Anthony Tolliver
2450,2015-16,0.357,0.325,0.765,0.4,1.1,1.5,0.7,0.3,0.3,0.3,0.378,0.364,0.857,0.2,0.2,0.4,0.3,0.1,0.3,0.0,,,,,,,,,,,0.333,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1626253,Axel Toupane
2451,2016-17,0.39366666666666666,0.19433333333333333,0.0,0.0,0.26666666666666666,0.26666666666666666,0.0,0.0,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1626253,Axel Toupane
2452,2015-16,0.542,0.341,0.811,2.8,7.7,10.5,2.0,2.2,0.7,1.7,0.543,0.227,0.849,0.8,1.9,2.7,0.4,0.5,0.1,0.4,,,,,,,,,,,0.5,0.25,0.0,0.1,0.2,0.3,0.1,0.1,0.0,0.1,1626157,Karl-Anthony Towns
2453,2016-17,0.542,0.367,0.832,3.6,8.7,12.3,2.7,2.6,0.7,1.3,0.479,0.321,0.847,1.3,1.9,3.2,0.6,0.6,0.2,0.3,,,,,,,,,,,0.384,0.294,0.0,0.1,0.3,0.4,0.1,0.1,0.0,0.1,1626157,Karl-Anthony Towns
2454,2006-07,0.5,0.0,0.571,0.6,0.7,1.4,0.2,0.4,0.1,0.0,0.462,0.0,0.667,0.5,0.4,0.9,0.0,0.4,0.1,0.0,,,,,,,,,,,,,,,,,,,,,200782,PJ Tucker
2455,2012-13,0.473,0.314,0.744,1.7,2.8,4.4,1.4,0.8,0.8,0.2,0.495,0.333,0.667,0.6,0.9,1.6,0.4,0.2,0.2,0.1,,,,,,,,,,,,,,,,,,,,,200782,PJ Tucker
2456,2013-14,0.431,0.387,0.776,2.0,4.5,6.5,1.7,1.3,1.4,0.3,0.511,0.469,0.789,0.7,1.2,1.9,0.3,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,200782,PJ Tucker
2457,2014-15,0.438,0.345,0.727,1.5,5.0,6.4,1.6,1.2,1.4,0.3,0.533,0.379,0.738,0.6,1.5,2.0,0.5,0.4,0.3,0.1,,,,,,,,,,,0.393,0.364,0.0,0.2,0.2,0.4,0.1,0.0,0.1,0.0,200782,PJ Tucker
2458,2015-16,0.411,0.33,0.746,2.0,4.2,6.2,2.2,1.4,1.3,0.2,0.43,0.302,0.783,0.8,1.0,1.8,0.4,0.2,0.3,0.1,,,,,,,,,,,0.349,0.25,0.0,0.1,0.1,0.2,0.1,0.1,0.0,0.0,200782,PJ Tucker
2459,2016-17,0.41133333333333333,0.365,0.7513333333333333,1.3333333333333333,4.4,5.733333333333333,1.2,0.7666666666666666,1.4000000000000001,0.20000000000000004,0.40066666666666667,0.37166666666666665,0.7793333333333333,0.5333333333333333,1.5,2.033333333333333,0.3666666666666667,0.2333333333333333,0.4666666666666666,0.03333333333333333,0.367,0.321,0.625,1.5,4.2,5.7,1.1,0.8,0.6,0.3,0.3133333333333333,0.23133333333333336,0.39999999999999997,0.06666666666666667,0.16666666666666666,0.20000000000000004,0.10000000000000002,0.0,0.03333333333333333,0.0,200782,PJ Tucker
2460,2010-11,0.425,0.318,0.808,0.5,3.4,3.9,2.0,1.0,0.6,0.2,0.412,0.25,0.826,0.2,1.1,1.3,0.5,0.3,0.2,0.1,0.447,0.8,1.0,0.8,3.8,4.6,0.8,0.0,0.6,0.2,,,,,,,,,,,202323,Evan Turner
2461,2011-12,0.446,0.224,0.676,0.4,5.4,5.8,2.8,1.6,0.6,0.3,0.459,0.188,0.638,0.1,1.4,1.6,0.8,0.5,0.1,0.1,0.364,0.0,0.688,1.1,6.5,7.5,2.5,2.3,0.9,0.5,,,,,,,,,,,202323,Evan Turner
2462,2012-13,0.419,0.365,0.74,0.7,5.6,6.3,4.3,2.3,0.9,0.2,0.391,0.371,0.698,0.3,1.6,1.9,0.9,0.8,0.2,0.1,,,,,,,,,,,,,,,,,,,,,202323,Evan Turner
2463,2013-14,0.42133333333333334,0.36966666666666664,0.7826666666666666,0.7000000000000001,4.0,4.733333333333333,3.1,2.1666666666666665,0.7333333333333334,0.10000000000000002,0.41133333333333333,0.36133333333333334,0.731,0.26666666666666666,1.0333333333333334,1.2666666666666668,0.7000000000000001,0.6333333333333334,0.26666666666666666,0.06666666666666667,0.429,0.571,1.0,0.0,2.2,2.2,1.6,0.9,0.3,0.0,,,,,,,,,,,202323,Evan Turner
2464,2014-15,0.429,0.277,0.752,0.5,4.6,5.1,5.5,2.4,1.0,0.2,0.488,0.5,0.719,0.1,1.1,1.1,1.2,0.5,0.2,0.0,0.364,0.5,0.889,0.5,6.8,7.3,4.8,2.3,0.8,0.0,0.353,0.182,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.0,202323,Evan Turner
