,GROUP_VALUE,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,4Q_FG_PCT,4Q_FG3_PCT,4Q_FT_PCT,4Q_OREB,4Q_DREB,4Q_REB,4Q_AST,4Q_TOV,4Q_STL,4Q_BLK,PO_FG_PCT,PO_FG3_PCT,PO_FT_PCT,PO_OREB,PO_DREB,PO_REB,PO_AST,PO_TOV,PO_STL,PO_BLK,SC_FG_PCT,SC_FG3_PCT,SC_FT_PCT,SC_OREB,SC_DREB,SC_REB,SC_AST,SC_TOV,SC_STL,SC_BLK,PERSON_ID,DISPLAY_FIRST_LAST
233,2007-08,0.499,0.0,0.822,1.5,2.9,4.4,0.7,1.0,0.3,0.6,0.459,0.0,0.779,0.5,1.0,1.4,0.2,0.3,0.1,0.2,0.472,0.0,0.96,4.0,2.8,6.8,0.4,0.6,0.6,0.6,,,,,,,,,,,101138,Brandon Bass
234,2008-09,0.496,0.0,0.867,1.6,2.9,4.5,0.5,1.1,0.3,0.7,0.456,0.0,0.852,0.7,1.3,1.9,0.3,0.4,0.1,0.3,0.55,0.0,0.903,1.3,2.8,4.1,0.7,0.4,0.7,0.4,,,,,,,,,,,101138,Brandon Bass
235,2009-10,0.511,0.0,0.825,1.1,1.5,2.5,0.4,0.6,0.2,0.5,0.515,0.0,0.792,0.5,0.7,1.2,0.2,0.5,0.1,0.2,0.538,0.0,0.833,0.3,0.9,1.1,0.1,0.1,0.0,0.0,,,,,,,,,,,101138,Brandon Bass
236,2010-11,0.515,0.0,0.815,1.8,3.8,5.6,0.8,1.3,0.4,0.7,0.471,0.0,0.8,0.4,0.9,1.2,0.2,0.4,0.0,0.1,0.421,0.0,0.923,2.0,2.2,4.2,0.3,1.2,0.5,0.8,,,,,,,,,,,101138,Brandon Bass
237,2011-12,0.479,0.0,0.81,1.6,4.6,6.2,0.9,1.1,0.6,0.9,0.487,0.0,0.791,0.5,1.1,1.6,0.3,0.3,0.1,0.2,0.463,0.0,0.922,1.3,4.0,5.3,0.8,0.8,0.7,0.5,,,,,,,,,,,101138,Brandon Bass
238,2012-13,0.486,0.0,0.86,1.6,3.7,5.2,1.0,1.0,0.5,0.8,0.494,0.0,0.893,0.4,0.6,1.0,0.2,0.2,0.1,0.2,0.483,0.0,0.8,1.3,5.3,6.7,1.2,0.8,0.3,0.2,,,,,,,,,,,101138,Brandon Bass
239,2013-14,0.486,0.333,0.858,2.0,3.8,5.7,1.1,1.2,0.4,0.9,0.417,0.0,0.796,0.5,0.8,1.2,0.2,0.3,0.1,0.3,,,,,,,,,,,,,,,,,,,,,101138,Brandon Bass
240,2014-15,0.504,0.281,0.79,1.7,3.2,4.9,1.3,1.0,0.5,0.4,0.549,0.375,0.821,0.3,0.8,1.2,0.3,0.3,0.2,0.2,0.35,0.0,0.6,0.8,1.3,2.0,2.5,0.8,0.3,0.8,0.364,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,101138,Brandon Bass
241,2015-16,0.549,0.0,0.845,1.6,2.7,4.3,1.1,0.6,0.5,0.8,0.561,0.0,0.862,0.5,1.1,1.6,0.4,0.3,0.3,0.4,,,,,,,,,,,0.382,0.0,0.5,0.1,0.1,0.1,0.0,0.0,0.0,0.0,101138,Brandon Bass
242,2016-17,0.575,0.333,0.875,0.8,1.7,2.5,0.4,0.6,0.3,0.2,0.579,0.0,0.932,0.4,0.9,1.4,0.3,0.3,0.2,0.2,0.333,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.455,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,101138,Brandon Bass
243,2008-09,0.446,0.369,0.808,1.1,1.7,2.8,0.9,0.6,0.6,0.5,0.441,0.455,0.5,0.2,0.4,0.5,0.1,0.1,0.2,0.0,0.556,0.5,0.0,0.2,0.3,0.5,0.2,0.5,0.2,0.3,,,,,,,,,,,201587,Nicolas Batum
244,2009-10,0.519,0.409,0.843,0.9,2.9,3.8,1.2,0.7,0.6,0.7,0.383,0.243,0.692,0.2,0.9,1.1,0.3,0.2,0.2,0.2,0.459,0.429,0.75,0.7,2.5,3.2,0.8,0.7,0.3,0.0,,,,,,,,,,,201587,Nicolas Batum
245,2010-11,0.455,0.345,0.841,1.4,3.2,4.5,1.5,1.0,0.9,0.6,0.412,0.365,0.829,0.3,0.9,1.2,0.3,0.1,0.1,0.1,0.413,0.269,0.75,0.2,1.5,1.7,1.3,1.2,0.8,0.8,,,,,,,,,,,201587,Nicolas Batum
246,2011-12,0.451,0.391,0.836,1.4,3.2,4.6,1.4,1.5,1.0,1.0,0.421,0.394,0.75,0.3,1.0,1.4,0.3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,201587,Nicolas Batum
247,2012-13,0.423,0.372,0.848,1.3,4.3,5.6,4.9,2.6,1.2,1.1,0.374,0.314,0.815,0.3,1.5,1.8,1.1,0.5,0.2,0.3,,,,,,,,,,,,,,,,,,,,,201587,Nicolas Batum
248,2013-14,0.465,0.361,0.803,1.4,6.0,7.5,5.1,2.5,0.9,0.7,0.38,0.297,0.766,0.4,1.4,1.8,0.8,0.4,0.2,0.2,0.472,0.35,0.8,0.9,6.7,7.6,4.8,2.5,1.4,0.5,,,,,,,,,,,201587,Nicolas Batum
249,2014-15,0.4,0.324,0.857,0.9,5.0,5.9,4.8,1.9,1.1,0.6,0.384,0.379,0.885,0.2,1.4,1.6,1.0,0.2,0.2,0.2,0.343,0.333,0.769,1.2,7.4,8.6,5.2,2.4,0.2,0.2,0.292,0.3,0.0,0.0,0.1,0.1,0.3,0.1,0.0,0.1,201587,Nicolas Batum
250,2015-16,0.426,0.348,0.849,0.8,5.3,6.1,5.8,2.9,0.9,0.6,0.364,0.256,0.848,0.2,1.3,1.5,0.9,0.5,0.1,0.1,0.378,0.273,0.85,0.4,3.2,3.6,2.0,1.6,0.4,0.0,0.25,0.13,0.0,0.1,0.2,0.3,0.3,0.0,0.1,0.0,201587,Nicolas Batum
251,2016-17,0.403,0.333,0.856,0.6,5.6,6.2,5.9,2.5,1.1,0.4,0.318,0.3,0.875,0.1,1.3,1.5,1.2,0.4,0.2,0.2,,,,,,,,,,,0.235,0.235,0.0,0.1,0.1,0.2,0.2,0.0,0.0,0.0,201587,Nicolas Batum
252,2008-09,0.365,0.259,0.806,0.2,0.9,1.1,1.5,1.1,0.3,0.0,0.373,0.25,0.771,0.1,0.5,0.6,0.8,0.6,0.1,0.0,0.333,0.0,0.667,0.0,0.5,0.5,0.0,0.5,0.0,0.5,,,,,,,,,,,201573,Jerryd Bayless
253,2009-10,0.414,0.315,0.831,0.2,1.4,1.6,2.3,1.3,0.4,0.1,0.415,0.333,0.782,0.1,0.6,0.7,1.0,0.5,0.1,0.0,0.431,0.4,0.792,0.7,2.0,2.7,3.8,1.3,0.3,0.0,,,,,,,,,,,201573,Jerryd Bayless
254,2010-11,0.3993333333333333,0.2993333333333333,0.7936666666666667,0.3333333333333333,1.7666666666666666,2.0666666666666664,3.4,1.7,0.43333333333333335,0.10000000000000002,0.486,0.22466666666666668,0.8196666666666667,0.06666666666666667,0.5333333333333333,0.6,1.1666666666666667,0.4666666666666666,0.16666666666666666,0.10000000000000002,,,,,,,,,,,,,,,,,,,,,201573,Jerryd Bayless
255,2011-12,0.424,0.423,0.852,0.3,1.9,2.1,3.8,1.7,0.8,0.1,0.424,0.517,0.895,0.1,0.9,1.0,1.2,0.5,0.2,0.0,,,,,,,,,,,,,,,,,,,,,201573,Jerryd Bayless
256,2012-13,0.419,0.353,0.836,0.3,1.9,2.2,3.3,1.5,0.7,0.2,0.407,0.391,0.763,0.1,0.7,0.8,1.2,0.4,0.3,0.1,0.358,0.305,0.885,0.1,1.9,2.0,2.1,1.1,0.5,0.3,,,,,,,,,,,201573,Jerryd Bayless
257,2013-14,0.399,0.35133333333333333,0.7963333333333334,0.3,1.7,2.0,2.6333333333333333,1.0999999999999999,0.7999999999999999,0.13333333333333333,0.4843333333333333,0.4163333333333334,0.7360000000000001,0.13333333333333333,0.3666666666666667,0.5,0.7666666666666666,0.3666666666666667,0.3,0.10000000000000002,,,,,,,,,,,,,,,,,,,,,201573,Jerryd Bayless
258,2014-15,0.426,0.308,0.883,0.3,2.5,2.7,3.0,1.7,0.8,0.2,0.414,0.226,0.818,0.1,0.9,1.1,0.9,0.5,0.2,0.1,0.343,0.286,0.765,0.7,1.8,2.5,3.0,0.7,0.3,0.3,0.29,0.273,0.0,0.0,0.1,0.1,0.2,0.1,0.0,0.0,201573,Jerryd Bayless
