,PERSON_ID,Q1_FGA,Q4_FGA,Q1_FG_PCT,Q4_FG_PCT,CD_2ft_FGA,CD_4ft_FGA,CD_6ft_FGA,CD_open_FGA,CD_2ft_FG_PCT,CD_4ft_FG_PCT,CD_6ft_FG_PCT,CD_open_FG_PCT,Drib_0_FGA,Drib_1_FGA,Drib_2_FGA,Drib_3_FGA,Drib_7_FGA,Drib_0_FG_PCT,Drib_1_FG_PCT,Drib_2_FG_PCT,Drib_3_FG_PCT,Drib_7_FG_PCT,SC_24_FGA,SC_22_FGA,SC_18_FGA,SC_15_FGA,SC_7_FGA,SC_4_FGA,SC_0_FGA,SC_24_FG_PCT,SC_22_FG_PCT,SC_18_FG_PCT,SC_15_FG_PCT,SC_7_FG_PCT,SC_4_FG_PCT,SC_0_FG_PCT,TT_2_FGA,TT_6_FGA,TT_long_FGA,TT_2_FG_PCT,TT_6_FG_PCT,TT_long_FG_PCT
SC_0_FGA,-0.1888931194230167,0.5640266892931938,0.6770760237581168,0.10045439470119108,0.04090845661474763,0.5525928450196884,0.6753026755693926,0.6719409902728288,0.35608544159884287,0.06214876790852771,-0.004913125768653487,0.02085139447601264,0.07761002522921297,0.25396144035075174,0.5501821264963076,0.647531868926568,0.6890440158796051,0.5513355876332021,0.08290009682752457,0.02174834691539213,0.08228851429101348,0.13919862322981794,0.02583930697723476,0.1856053551651427,0.6316850579034284,0.6295057417894788,0.6209459106720419,0.5729334725865728,0.5468703867213334,1.0,0.016140976004401897,0.03230052533262447,0.053845880046265136,0.1013411212419206,0.049734389711068895,-0.006471293007461403,-0.03566012229474696,0.31945361343142076,0.7119058420039106,0.5888571597183381,0.09608981749281043,0.1628416832855844,0.1304883070880962
SC_24_FG_PCT,0.07785929764343907,0.07360183240832865,0.07759866827585528,0.21310048538250317,0.3003909641336328,0.12048040461358224,0.09496884339752396,0.02942534136281768,0.02274409907587136,0.2691672560898829,0.26937204043635066,0.27797192406466853,0.24870471947400058,0.09295614316653342,0.12096421831357637,0.0663925324421196,0.03637711857899785,-0.016919709817665118,0.403547928312777,0.179887896721503,0.10265503756014958,0.2053845960040278,-0.03210769071708023,0.13489513541679823,0.04085978165786095,0.027066183802910086,0.09235037364887169,0.0780638947716939,0.05088667173340895,0.016140976004401897,1.0,0.27985632843011415,0.2690035618573734,0.20163638736395367,0.10536010327934672,0.10150224728008216,0.08592665044033782,0.10323269837307765,0.06502572283633347,-0.004023307133569814,0.368732219558674,0.23182440930334067,0.03855449279068535
SC_22_FG_PCT,-0.15647660888958093,0.1862532528393972,0.058729588524249546,0.37586879639237636,0.5732734414323815,0.3422198639446478,0.19561435398357213,0.0034925581121065807,-0.004340979155548294,0.46470200414991636,0.6367964732705834,0.4639251631890754,0.38878749150195224,0.26409773372421336,0.22119277167656473,0.1102878549118591,0.01663844271554542,-0.08466486534728897,0.5772843399240817,0.3967356062149196,0.06013873541708101,0.2931042913450707,0.11050661504777064,0.44364180087380384,0.028415323889178907,0.06893586402506169,0.1629729221350196,0.15097766750531488,0.13528317371376866,0.03230052533262447,0.27985632843011415,1.0,0.39679366947853423,0.4714534074498441,0.3285414818228673,0.19436007063411553,0.20944712807470206,0.24949925492540884,0.10754622128442469,-0.04798990286760495,0.6191282906580761,0.37333323763787807,0.05808495519274802
SC_18_FG_PCT,-0.13633151614682912,0.21010216957047528,0.04670841927463324,0.36601313377258216,0.4138579862312079,0.2771210147449499,0.22344557232900014,0.04930836463689531,0.0034129108884606856,0.4812989271303063,0.46267593075988456,0.46285790602671184,0.4365101569812825,0.17023943824810772,0.18295438868353814,0.09451419265892239,0.08031521403325032,0.06702386689722747,0.5294788557210315,0.27586776812068753,0.21125811423911034,0.21070253766643618,0.14657347013770872,0.3153790380721203,0.06049291545705618,0.13809900398162622,0.17511036759280732,0.13091386134593935,0.13206254878507703,0.053845880046265136,0.2690035618573734,0.39679366947853423,1.0,0.3697975906620376,0.2993360437936028,0.28790822434915925,0.0962039683169167,0.16512272811395526,0.12986113751458403,0.08371592252559107,0.5407447458257609,0.32397220264250276,0.1712114270940928
SC_15_FG_PCT,-0.23597578168730715,0.31392454721678786,0.13744044168228314,0.5185734754022097,0.6266922364638672,0.40226077159618173,0.34949829635811297,0.13759977267886803,0.046022154161829774,0.47813192958601664,0.6762862586752459,0.7067578712514249,0.4987926783089327,0.3078932629844932,0.27178429454710684,0.17425773322335475,0.14296132787068033,0.08513398242534212,0.7355009110982608,0.3289823704109183,0.21822256487869346,0.43166134495019826,0.15339153679092052,0.45775314064184414,0.08402082369719702,0.2084358387795886,0.3014075268491671,0.27338418220688293,0.2710111521414818,0.1013411212419206,0.20163638736395367,0.4714534074498441,0.3697975906620376,1.0,0.4349705159638456,0.19913629566655933,0.2422161076259067,0.2824466293551134,0.2251567056846121,0.1246966024832448,0.7509129861805715,0.49168110385864355,0.21722911132650113
SC_7_FG_PCT,-0.1664370778242385,0.205003268175604,0.15632958397433186,0.41574379318119964,0.44854741770718326,0.2824087430637699,0.24427883272442355,0.10485676413856457,0.04674077354338484,0.39148924160223153,0.47935761312700165,0.4245908408167686,0.352317710503364,0.26353744413759306,0.22189885404272558,0.14353936076948906,0.08240458002594711,-0.005664685673147358,0.46025116296671187,0.21880217325884332,0.2809853138835588,0.29482162287194935,0.08200715060115008,0.3285173810127354,0.0660573346614421,0.14513292707064818,0.2370628720132337,0.1689412482402101,0.12765855359333317,0.049734389711068895,0.10536010327934672,0.3285414818228673,0.2993360437936028,0.4349705159638456,1.0,0.2689093513300737,0.16829877440740687,0.2510437299127481,0.16468753912495193,0.01685178497409081,0.480333372756442,0.3747996451146952,0.2512084778529021
SC_4_FG_PCT,-0.1749160258626765,0.14065744019181764,0.01567214951623394,0.26096834063978763,0.22280565123981455,0.1805649255376332,0.1172698776194785,0.04616462180363287,0.07905755642812137,0.3118897609418054,0.35966144249635523,0.2324122264709861,0.23432174690819677,0.22446364583223163,0.11567741639190322,0.08244710727776723,-0.007896306233109208,-0.05680821867614623,0.38384169397100604,0.07990173911888501,0.17593992878942222,0.1218010748186656,0.07935489709912187,0.2214534118252777,0.060806881504109594,0.06178030645947545,0.1338647993878457,0.10810267225234207,0.043770573142646985,-0.006471293007461403,0.10150224728008216,0.19436007063411553,0.28790822434915925,0.19913629566655933,0.2689093513300737,1.0,-0.01930477956780185,0.21964418683171613,0.04465869863196555,-0.03793474222724716,0.38303410584457775,0.21315379473489462,0.0021020017863439076
SC_0_FG_PCT,0.06268084451520155,0.019803328338741596,0.04569201480512209,0.21853275117167725,0.3490050530737614,0.07521839035399423,0.06035255157913105,-0.017250619041689005,-0.003941426941653416,0.16702878853847702,0.2576142354325576,0.3091843217880505,0.2134047268336349,0.11317806061908127,0.10086497814272606,0.016023490069128763,-0.023544460469004325,-0.09801248369966165,0.2405987841087581,0.24764249575656475,0.08758811435766925,0.26138152466209164,0.008601869090442235,0.2022718208535412,0.045196881441605094,0.001461971879910528,0.04346025637323636,-0.0453991702239907,-0.04653919715405884,-0.03566012229474696,0.08592665044033782,0.20944712807470206,0.0962039683169167,0.2422161076259067,0.16829877440740687,-0.01930477956780185,1.0,0.10899711241826573,0.01087534671156863,-0.07003389982641786,0.2729300813138481,0.2789306386294712,0.09214182214436092
TT_2_FGA,-0.29882522826801805,0.7227144176055039,0.4398902724730021,0.3270274159991098,0.15587279990884984,0.5591542337778255,0.609168331246949,0.5910980168566293,0.7012996008618219,0.2898181949077251,0.2858495896109879,0.19232439969218956,0.27384094183707386,0.9790979078068719,0.7697836602907197,0.5911348692193542,0.1670577905152175,-0.1140771435603534,0.34656279270232143,0.1639533157829486,0.06804665987044911,0.15168694890164,0.04866229783192504,0.6551255679096774,0.4554394946617739,0.5505186968279612,0.7511159851531483,0.5777023216912746,0.364219377231768,0.31945361343142076,0.10323269837307765,0.24949925492540884,0.16512272811395526,0.2824466293551134,0.2510437299127481,0.21964418683171613,0.10899711241826573,1.0,0.45467195628438933,-0.04097840881447508,0.37930777496367896,0.16240693013106852,0.046296858880968336
TT_6_FGA,-0.2202608485006931,0.810888301943923,0.847676188912428,0.22503425334554025,0.11102822676166132,0.7950004779714794,0.9029694604848901,0.8265310960933673,0.4940394881623434,0.19376845021115008,0.12356147296464405,0.10487203148590712,0.13881643566797083,0.41480511656086977,0.7666128605601017,0.9161745155305172,0.8896848823202714,0.5907596747760365,0.1828483085777308,0.07158701023614622,0.17614285465033483,0.2991795991246435,0.10635337879185902,0.35317517231355944,0.7140795934118591,0.8176024052278801,0.8860285071151909,0.826402120446454,0.7625844389776469,0.7119058420039106,0.06502572283633347,0.10754622128442469,0.12986113751458403,0.2251567056846121,0.16468753912495193,0.04465869863196555,0.01087534671156863,0.45467195628438933,1.0,0.6671815396050402,0.20621667293965062,0.32776478764259515,0.23180203702881846
