,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,PERSON_ID,SEASON_ID,AOP_FGA,AOP_FG_PCT,Bank_FGA,Bank_FG_PCT,DUNK_FGA,DUNK_FG_PCT,FADE_FGA,FADE_FG_PCT,FGR_FGA,FGR_FG_PCT,HOOK_FGA,HOOK_FG_PCT,JS_FGA,JS_FG_PCT,LAY_FGA,LAY_FG_PCT,TIP_FGA,TIP_FG_PCT
32,2581,2003-04,0,0.0,2,0.5,0,0.0,0,0.0,1,1.0,1,0.0,366,0.36299999999999999,39,0.58999999999999997,0,0.0
33,916,2003-04,0,0.0,0,0.0,9,0.77800000000000002,1,0.0,0,0.0,5,0.40000000000000002,190,0.437,35,0.48599999999999999,14,0.42899999999999999
34,1548,2003-04,4,0.75,3,1.0,69,0.97099999999999997,4,0.75,0,0.0,43,0.58099999999999996,254,0.45300000000000001,212,0.57099999999999995,32,0.53100000000000003
35,2586,2003-04,1,1.0,2,0.5,3,1.0,5,0.40000000000000002,5,0.59999999999999998,3,0.66700000000000004,335,0.35199999999999998,98,0.55100000000000005,10,0.29999999999999999
36,1916,2003-04,0,0.0,1,1.0,46,0.91300000000000003,0,0.0,0,0.0,14,0.42899999999999999,168,0.31,52,0.59599999999999997,13,0.46200000000000002
37,2430,2003-04,4,0.75,11,0.54500000000000004,82,0.90200000000000002,21,0.33300000000000002,2,0.5,43,0.53500000000000003,464,0.379,282,0.65200000000000002,36,0.52800000000000002
38,2414,2003-04,0,0.0,0,0.0,3,1.0,0,0.0,0,0.0,4,0.25,37,0.29699999999999999,14,0.57099999999999995,1,0.0
39,2547,2003-04,11,0.90900000000000003,19,0.47399999999999998,84,0.88100000000000001,11,0.63600000000000001,12,0.83299999999999996,17,0.35299999999999998,448,0.379,137,0.42299999999999999,16,0.68799999999999994
40,2257,2003-04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,3,0.33300000000000002,1,0.0,0,0.0
41,1477,2003-04,0,0.0,3,0.66700000000000004,6,1.0,0,0.0,6,0.66700000000000004,2,0.5,399,0.38100000000000001,87,0.55200000000000005,2,0.0
42,1763,2003-04,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,2,0.0,20,0.10000000000000001,27,0.55600000000000005,3,0.0
43,1863,2003-04,0,0.0,14,0.64300000000000002,0,0.0,16,0.375,3,0.33300000000000002,4,0.25,654,0.39900000000000002,104,0.54800000000000004,1,1.0
44,762,2003-04,0,0.0,1,1.0,11,1.0,1,1.0,0,0.0,19,0.42099999999999999,99,0.374,50,0.47999999999999998,11,0.90900000000000003
45,1765,2003-04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.33300000000000002,15,0.46700000000000003,14,0.57099999999999995,1,0.0
46,1882,2003-04,1,1.0,7,1.0,36,0.97199999999999998,20,0.5,1,1.0,30,0.76700000000000002,574,0.39500000000000002,308,0.59099999999999997,38,0.55300000000000005
47,2452,2003-04,0,0.0,0,0.0,0,0.0,2,0.0,1,0.0,0,0.0,127,0.26000000000000001,30,0.33300000000000002,0,0.0
48,2249,2003-04,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,26,0.26900000000000002,8,0.625,0,0.0
49,2056,2003-04,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,0.0,7,0.42899999999999999,15,0.46700000000000003,2,0.5
50,2484,2003-04,1,0.0,2,0.5,5,0.59999999999999998,3,0.33300000000000002,6,0.66700000000000004,1,1.0,141,0.40400000000000003,40,0.45000000000000001,3,0.66700000000000004
