,0,1,2,3,4,5,6,7,8,9
0,PERSON_ID,SEASON,0D_FQ,0D_FG_PCT,1D_FQ,1D_FG_PCT,2D_FQ,2D_FG_PCT,3D_FQ,3D_FG_PCT
74,201979,2013-14,0.354,0.509,0.106,0.515,0.093,0.552,0.212,0.364
75,101181,2013-14,0.517,0.478,0.077,0.526,0.073,0.5,0.175,0.331
76,203484,2013-14,0.623,0.427,0.176,0.333,0.1,0.391,0.087,0.3
77,203477,2013-14,0.529,0.391,0.034,0.333,0.126,0.364,0.23,0.25
78,201960,2013-14,0.672,0.508,0.118,0.387,0.082,0.442,0.106,0.388
79,1713,2013-14,0.457,0.408,0.14,0.398,0.173,0.4,0.191,0.413
80,203487,2013-14,0.294,0.437,0.087,0.44,0.092,0.351,0.235,0.393
81,201956,2013-14,0.627,0.441,0.132,0.37,0.15,0.41,0.088,0.389
82,201596,2013-14,0.41,0.428,0.088,0.327,0.095,0.453,0.199,0.459
83,2199,2013-14,0.823,0.592,0.14,0.578,0.025,0.625,0.012,0.75
84,201163,2013-14,0.586,0.419,0.112,0.5,0.11,0.37,0.14,0.379
85,202091,2013-14,0.677,0.429,0.129,0.125,0.065,0.25,0.113,0.143
86,201947,2013-14,0.635,0.382,0.119,0.29,0.158,0.39,0.081,0.381
87,203546,2013-14,0.478,0.375,0.194,0.538,0.119,0.25,0.119,0.125
88,201964,2013-14,0.81,0.471,0.071,0.0,0.095,0.25,0.024,0.0
89,202708,2013-14,0.428,0.371,0.127,0.476,0.102,0.49,0.183,0.418
90,201954,2013-14,0.298,0.495,0.117,0.457,0.119,0.5,0.262,0.459
91,2555,2013-14,0.826,0.578,0.154,0.459,0.008,0.0,0.012,0.667
92,201144,2013-14,0.285,0.416,0.116,0.429,0.117,0.492,0.23,0.492
93,203142,2013-14,0.618,0.426,0.145,0.313,0.136,0.667,0.091,0.4
94,202326,2013-14,0.551,0.523,0.269,0.468,0.11,0.422,0.066,0.461
95,203459,2013-14,0.697,0.348,0.242,0.375,0.03,1.0,0.03,0.0
96,2037,2013-14,0.4,0.407,0.154,0.413,0.102,0.359,0.224,0.438
97,202348,2013-14,0.252,0.403,0.078,0.475,0.091,0.563,0.25,0.395
98,203109,2013-14,0.726,0.46,0.139,0.268,0.081,0.667,0.047,0.286
99,201967,2013-14,0.909,0.461,0.077,0.487,0.012,0.5,0.002,0.0
100,203099,2013-14,0.381,0.375,0.048,1.0,0.143,0.0,0.286,0.333
101,201939,2013-14,0.214,0.512,0.091,0.48,0.066,0.472,0.248,0.422
102,203584,2013-14,0.645,0.45,0.129,0.25,0.129,0.5,0.097,1.0
103,203540,2013-14,0.716,0.309,0.126,0.417,0.063,0.333,0.084,0.625
104,203561,2013-14,0.701,0.438,0.236,0.3,0.039,0.8,0.024,0.333
105,203076,2013-14,0.665,0.553,0.272,0.473,0.04,0.35,0.023,0.391
106,202334,2013-14,0.762,0.561,0.19,0.436,0.038,0.545,0.01,0.333
107,201175,2013-14,0.666,0.492,0.166,0.378,0.09,0.321,0.076,0.467
108,201948,2013-14,0.735,0.36,0.059,0.5,0.132,0.111,0.059,0.75
109,201986,2013-14,0.503,0.442,0.176,0.259,0.052,0.5,0.176,0.444
110,201942,2013-14,0.355,0.445,0.169,0.404,0.148,0.417,0.234,0.415
111,203473,2013-14,0.735,0.443,0.169,0.571,0.06,0.2,0.036,0.667
112,203521,2013-14,0.553,0.429,0.108,0.375,0.102,0.5,0.166,0.408
113,2736,2013-14,0.523,0.437,0.174,0.473,0.134,0.421,0.154,0.374
